pair,method,nominal_validation_budget,actual_test_call_fraction,test_metric,estimated_gflops_per_input,estimated_time_ms_per_input
grefcoco|instancevg|Qwen3.8,learned,0.0,0.0,0.6695119530385957,11.144851456,63.11319342603383
grefcoco|instancevg|Qwen3.8,learned,0.05,0.11998411933187761,0.7164449990074583,3917.1153094417755,551.619195333999
grefcoco|instancevg|Qwen3.8,learned,0.1,0.16822164875365114,0.7290077418257097,5487.442832257611,748.0145414095009
grefcoco|instancevg|Qwen3.8,learned,0.25,0.30176105266142983,0.748092901908516,9834.692864556126,1291.7098292810697
grefcoco|instancevg|Qwen3.8,learned,0.5,0.487451436349715,0.7535093440716899,15879.6691252252,2047.733771728093
grefcoco|instancevg|Qwen3.8,learned,0.75,0.6870657629810283,0.7512973938689278,22377.92628754188,2860.4479639829183
grefcoco|instancevg|Qwen3.8,learned,1.0,1.0,0.7447182599325072,32565.206836791,4134.535350192891
grefcoco|instancevg|Qwen3.8,confidence,0.0,0.0,0.6695119530385957,7.502680064,46.08042127620138
grefcoco|instancevg|Qwen3.8,confidence,0.05,0.012534384482318578,0.6666194027734452,415.54780944942013,97.11319197894791
grefcoco|instancevg|Qwen3.8,confidence,0.1,0.0345971698380739,0.6647761109378102,1133.7810914898203,186.94010511636148
grefcoco|instancevg|Qwen3.8,confidence,0.25,0.12477667810452883,0.6594731021183677,4069.490393403024,554.0989531587461
grefcoco|instancevg|Qwen3.8,confidence,0.5,0.2345234381646485,0.662762669086578,7642.1932230898465,1000.9243437008932
grefcoco|instancevg|Qwen3.8,confidence,0.75,0.7478093185491875,0.7311629753566061,24351.733589325377,3090.727849854088
grefcoco|instancevg|Qwen3.8,confidence,1.0,1.0,0.7447182599325072,32561.564665399,4117.502578043059
construction|yolo26x|Qwen3.8,learned,0.0,0.0,0.18129624718318377,139.16228659200002,71.56936161300109
construction|yolo26x|Qwen3.8,learned,0.05,0.045938748335552594,0.19531128485766117,4589.465326580834,522.8016087608005
construction|yolo26x|Qwen3.8,learned,0.1,0.09920106524633822,0.20211074868345033,9749.236967147599,1045.9694315408578
construction|yolo26x|Qwen3.8,learned,0.25,0.25432756324900135,0.2504846177578749,24777.071870298303,2569.695715387775
construction|yolo26x|Qwen3.8,learned,0.5,0.4876830892143808,0.29875800068449215,47383.321370531434,4861.824738942901
construction|yolo26x|Qwen3.8,learned,0.75,0.7709720372836218,0.28730364578560735,74826.85678379593,7644.4235963543315
construction|yolo26x|Qwen3.8,learned,1.0,1.0,0.27001009067886245,97013.87483823301,9894.045234308578
construction|yolo26x|Qwen3.8,confidence,0.0,0.0,0.18129624718318377,135.97853184000002,46.30809425361804
construction|yolo26x|Qwen3.8,confidence,0.05,0.0,0.18129624718318377,135.97853184000002,46.30809425361804
construction|yolo26x|Qwen3.8,confidence,0.1,0.0,0.18129624718318377,135.97853184000002,46.30809425361804
construction|yolo26x|Qwen3.8,confidence,0.25,0.24800266311584554,0.18026802885144627,24161.165233228996,2482.3082690732604
construction|yolo26x|Qwen3.8,confidence,0.5,0.5013315579227696,0.18015785955296285,48702.32909867467,4970.625226170908
construction|yolo26x|Qwen3.8,confidence,0.75,0.7486684420772304,0.22103445955201576,72663.01865455658,7400.0858032057995
construction|yolo26x|Qwen3.8,confidence,1.0,1.0,0.27001009067886245,97010.691083481,9868.783966949195
